round,overall,name,movie
1,1,Troy,Avatar: Fire and Ash
1,2,Nahiyan,Zootopia 2
1,3,Larry,Wicked: For Good
1,4,Holden,Jurassic World Rebirth
1,5,Ethan,The Fantastic Four: First Steps
2,6,Ethan,Lilo & Stitch
2,7,Holden,Michael
2,8,Larry,Mission: Impossible - The Final Reckoning
2,9,Nahiyan,Superman
2,10,Troy,A Minecraft Movie
3,11,Troy,How to Train Your Dragon
3,12,Nahiyan,Thunderbolts*
3,13,Larry,Snow White
3,14,Holden,F1
3,15,Ethan,Captain America: Brave New World
4,16,Ethan,The Smurfs Movie
4,17,Holden,Elio
4,18,Larry,From the World of John Wick: Ballerina
4,19,Nahiyan,28 Years Later
4,20,Troy,Tron: Ares
5,21,Troy,Now You See Me 3
5,22,Nahiyan,The Conjuring: Last Rites
5,23,Larry,The Bad Guys 2
5,24,Holden,Karate Kid: Legends
5,25,Ethan,Alto Knights
6,26,Ethan,The Running Man
6,27,Holden,The SpongeBob Movie: Search for SquarePants
6,28,Larry,Mickey 17
6,29,Nahiyan,Good Fortune
6,30,Troy,Predator: Badlands
7,31,Troy,Freakier Friday
7,32,Nahiyan,The Battle of Baktan Cross
7,33,Larry,Five Nights at Freddy's 2
7,34,Holden,Untitled Insidious sequel
7,35,Ethan,The Naked Gun
8,36,Ethan,Animal Friends
8,37,Holden,Sinners
8,38,Larry,Final Destination: Bloodlines
8,39,Nahiyan,Wolf Man
8,40,Troy,Saw XI
9,41,Troy,Mortal Kombat 2
9,42,Nahiyan,Roofman
9,43,Larry,The Accountant 2
9,44,Holden,Anaconda
9,45,Ethan,Untitled Trey Parker film
10,46,Ethan,Black Bag
10,47,Holden,Dog Man
10,48,Larry,Den of Thieves 2: Pantera
10,49,Nahiyan,Marty Supreme
10,50,Troy,Gabby's Dollhouse: The Movie
11,51,Troy,Untitled Downton Abbey: A New Era sequel
11,52,Nahiyan,Bridget Jones: Mad About the Boy
11,53,Larry,The Black Phone 2
11,54,Holden,M3GAN 2.0
11,55,Ethan,Novocaine
12,56,Ethan,The Monkey
12,57,Holden,Untitled I Know What You Did Last Summer sequel
12,58,Larry,The Amateur
12,59,Nahiyan,The Last Rodeo
12,60,Troy,Nobody 2
13,61,Troy,The Day the Earth Blew Up: A Looney Tunes Movie
13,62,Nahiyan,Hurry Up Tomorrow
13,63,Larry,Mercy
13,64,Holden,A Big Bold Beautiful Journey
13,65,Ethan,The Bride!
14,66,Ethan,Presence
14,67,Holden,The Woman in the Yard
14,68,Larry,Until Dawn
14,69,Nahiyan,A Working Man
14,70,Troy,Ash
15,71,Troy,The Unbreakable Boy
15,72,Nahiyan,The Life of Chuck
15,73,Larry,Him
15,74,Holden,Love Hurts
15,75,Ethan,Companion
16,76,Ethan,Drop
16,77,Holden,Flight Risk
16,78,Larry,Regretting You
16,79,Nahiyan,In the Lost Lands
16,80,Troy,Alarum
17,81,Troy,Cleaner
17,82,Nahiyan,Freaky Tales
17,83,Larry,"Alexander and the Terrible, Horrible, No Good, Very Bad Road Trip"
17,84,Holden,Last Breath
17,85,Ethan,Love Me
18,86,Ethan,Hell of a Summer
18,87,Holden,The King of Kings
18,88,Larry,Clown in a Cornfield
18,89,Nahiyan,Sneaks
18,90,Troy,Screamboat
19,91,Troy,Bugonia
19,92,Nahiyan,The Friend
19,93,Larry,Old Guy
19,94,Holden,David
19,95,Ethan,Light of the World
20,96,Ethan,My Dead Friend Zoe
20,97,Holden,Beneath the Storm
20,98,Larry,One of Them Days
20,99,Nahiyan,The Smashing Machine
20,100,Troy,Wildwood
